Timestamp,Filetype,City,District,KPIType,KPI Name,Result
25.12.2020 12:8,requests,Wuppertal,Cronenberg,KPI 5,Count unfurnished,3
25.12.2020 12:8,requests,Wuppertal,Elberfeld,KPI 1,Average price,359.54545454545456
25.12.2020 12:8,requests,Wuppertal,Elberfeld,KPI 2,Average size,41.6
25.12.2020 12:8,requests,Wuppertal,Elberfeld,KPI 3,Average €/qm,24.934188034188033
25.12.2020 12:8,requests,Wuppertal,Elberfeld,KPI 4,Count furnished,5
25.12.2020 12:8,requests,Wuppertal,Elberfeld,KPI 5,Count unfurnished,6
25.12.2020 12:8,requests,Wuppertal,Langerfeld,KPI 1,Average price,346.42857142857144
25.12.2020 12:8,requests,Wuppertal,Langerfeld,KPI 2,Average size,13.5
25.12.2020 12:8,requests,Wuppertal,Langerfeld,KPI 3,Average €/qm,32.083333333333336
25.12.2020 12:8,requests,Wuppertal,Langerfeld,KPI 4,Count furnished,4
25.12.2020 12:8,requests,Wuppertal,Langerfeld,KPI 5,Count unfurnished,3
25.12.2020 12:8,requests,Wuppertal,Remscheid,KPI 1,Average price,346.42857142857144
25.12.2020 12:8,requests,Wuppertal,Remscheid,KPI 2,Average size,13.5
25.12.2020 12:8,requests,Wuppertal,Remscheid,KPI 3,Average €/qm,32.083333333333336
25.12.2020 12:8,requests,Wuppertal,Remscheid,KPI 4,Count furnished,4
25.12.2020 12:8,requests,Wuppertal,Remscheid,KPI 5,Count unfurnished,3
25.12.2020 12:8,requests,Wuppertal,Ronsdorf,KPI 1,Average price,346.42857142857144
25.12.2020 12:8,requests,Wuppertal,Ronsdorf,KPI 2,Average size,13.5
25.12.2020 12:8,requests,Wuppertal,Ronsdorf,KPI 3,Average €/qm,32.083333333333336
25.12.2020 12:8,requests,Wuppertal,Ronsdorf,KPI 4,Count furnished,4
25.12.2020 12:8,requests,Wuppertal,Ronsdorf,KPI 5,Count unfurnished,3
25.12.2020 12:8,requests,Wuppertal,Schwelm,KPI 1,Average price,346.42857142857144
25.12.2020 12:8,requests,Wuppertal,Schwelm,KPI 2,Average size,13.5
25.12.2020 12:8,requests,Wuppertal,Schwelm,KPI 3,Average €/qm,32.083333333333336
25.12.2020 12:8,requests,Wuppertal,Schwelm,KPI 4,Count furnished,4
25.12.2020 12:8,requests,Wuppertal,Schwelm,KPI 5,Count unfurnished,3
25.12.2020 12:8,requests,Wuppertal,Vohwinkel,KPI 1,Average price,346.42857142857144
25.12.2020 12:8,requests,Wuppertal,Vohwinkel,KPI 2,Average size,13.5
25.12.2020 12:8,requests,Wuppertal,Vohwinkel,KPI 3,Average €/qm,32.083333333333336
25.12.2020 12:8,requests,Wuppertal,Vohwinkel,KPI 4,Count furnished,4
25.12.2020 12:8,requests,Wuppertal,Vohwinkel,KPI 5,Count unfurnished,3
25.12.2020 12:8,requests,Wuppertal,Keine Ahnung,KPI 1,Average price,nan
25.12.2020 12:8,requests,Wuppertal,Keine Ahnung,KPI 2,Average size,10.0
