Timestamp,Filetype,City,Postal_Code,KPIType,KPI Name,Result
23.11.2020 19:0,offers,Wuppertal,42107,KPI 1,Average price,250.0
23.11.2020 19:0,offers,Wuppertal,42107,KPI 2,Average size,18.0
23.11.2020 19:0,offers,Wuppertal,42107,KPI 3,Average €/qm,13.888888888888891
23.11.2020 19:0,offers,Wuppertal,42107,KPI 4,Count furnished,1
23.11.2020 19:0,offers,Wuppertal,42107,KPI 5,Count unfurnished,0
23.11.2020 19:0,offers,Wuppertal,42283,KPI 1,Average price,337.0
23.11.2020 19:0,offers,Wuppertal,42283,KPI 2,Average size,15.333333333333334
23.11.2020 19:0,offers,Wuppertal,42283,KPI 3,Average €/qm,22.866666666666664
23.11.2020 19:0,offers,Wuppertal,42283,KPI 4,Count furnished,2
23.11.2020 19:0,offers,Wuppertal,42283,KPI 5,Count unfurnished,1
23.11.2020 19:0,offers,Wuppertal,42103,KPI 1,Average price,235.0
23.11.2020 19:0,offers,Wuppertal,42103,KPI 2,Average size,13.0
23.11.2020 19:0,offers,Wuppertal,42103,KPI 3,Average €/qm,18.076923076923077
23.11.2020 19:0,offers,Wuppertal,42103,KPI 4,Count furnished,0
23.11.2020 19:0,offers,Wuppertal,42103,KPI 5,Count unfurnished,1
23.11.2020 19:0,offers,Wuppertal,42287,KPI 1,Average price,286.0
23.11.2020 19:0,offers,Wuppertal,42287,KPI 2,Average size,11.0
23.11.2020 19:0,offers,Wuppertal,42287,KPI 3,Average €/qm,26.0
23.11.2020 19:0,offers,Wuppertal,42287,KPI 4,Count furnished,0
23.11.2020 19:0,offers,Wuppertal,42287,KPI 5,Count unfurnished,1
23.11.2020 19:0,offers,Wuppertal,42119,KPI 1,Average price,307.5
23.11.2020 19:0,offers,Wuppertal,42119,KPI 2,Average size,19.0
23.11.2020 19:0,offers,Wuppertal,42119,KPI 3,Average €/qm,16.638461538461538
23.11.2020 19:0,offers,Wuppertal,42119,KPI 4,Count furnished,1
23.11.2020 19:0,offers,Wuppertal,42119,KPI 5,Count unfurnished,1
23.11.2020 19:0,offers,Wuppertal,42275,KPI 1,Average price,297.5
23.11.2020 19:0,offers,Wuppertal,42275,KPI 2,Average size,15.25
23.11.2020 19:0,offers,Wuppertal,42275,KPI 3,Average €/qm,19.741452991452988
23.11.2020 19:0,offers,Wuppertal,42275,KPI 4,Count furnished,3
23.11.2020 19:0,offers,Wuppertal,42275,KPI 5,Count unfurnished,1
23.11.2020 19:0,offers,Wuppertal,42015,KPI 1,Average price,240.0
23.11.2020 19:0,offers,Wuppertal,42015,KPI 2,Average size,10.0
23.11.2020 19:0,offers,Wuppertal,42015,KPI 3,Average €/qm,24.0
23.11.2020 19:0,offers,Wuppertal,42015,KPI 4,Count furnished,0
23.11.2020 19:0,offers,Wuppertal,42015,KPI 5,Count unfurnished,1
23.11.2020 19:0,offers,Wuppertal,42285,KPI 1,Average price,245.0
23.11.2020 19:0,offers,Wuppertal,42285,KPI 2,Average size,14.0
23.11.2020 19:0,offers,Wuppertal,42285,KPI 3,Average €/qm,17.5
23.11.2020 19:0,offers,Wuppertal,42285,KPI 4,Count furnished,1
23.11.2020 19:0,offers,Wuppertal,42285,KPI 5,Count unfurnished,0
23.11.2020 19:0,offers,Wuppertal,42117,KPI 1,Average price,355.0
23.11.2020 19:0,offers,Wuppertal,42117,KPI 2,Average size,13.0
23.11.2020 19:0,offers,Wuppertal,42117,KPI 3,Average €/qm,27.307692307692307
23.11.2020 19:0,offers,Wuppertal,42117,KPI 4,Count furnished,1
23.11.2020 19:0,offers,Wuppertal,42117,KPI 5,Count unfurnished,1
